x,y
11680,14112
4530,3590
2570,14901
2795,5799
11680,1320
3315,19122
2625,3252
14224,18798
13690,8192
7327,1942
11904,6702
5019,15933
20694,1277
18155,1821
9271,9118
6702,15371
21180,1452
18252,20584
17758,11564
20395,17344
3590,19053
244,13627
5306,21180
17858,17106
14407,3485
2734,1942
17708,21423
13750,15760
12940,21566
12993,14224
7997,7122
19053,21324
14653,14339
19460,6037
9649,1769
10781,2625
10565,11733
9324,5366
17858,19391
1606,20856
480,7744
7812,2525
9481,19460
10322,18485
16699,4481
20029,244
19668,2923
8831,19274
6842,6702
8256,3806
12645,4370
3199,10717
11616,11463
10717,21276
8831,4370
630,3899
6463,15316
14224,4056
12189,18056
11680,9009
15627,10518
8312,18056
11616,14552
18743,3546
1496,4056
5416,12809
15627,12645
15999,8831
11142,15586
1821,15132
15201,7812
14407,9271
3089,19325
14407,14507
13992,6338
1102,1154
17899,9324
11463,14783
6580,10146
10269,11850
17146,6463
11564,900
10423,6947
353,4016
3633,14224
14601,1539
21234,4588
9649,11082
1496,10879
20301,15034
14552,5019
4278,0
2285,1051
9271,19928
7744,20029
19864,13750
4056,3752
17292,19391
12299,4278
15875,12362
17657,13690
480,353
17813,8312
15692,14901
5306,12752
13134,10035
10979,18306
13192,19807
9815,8688
17813,480
10671,9118
8192,2050
1942,17899
19765,13992
15586,19864
4016,1102
14552,17002
7928,3546
11733,11799
959,15254
6516,959
19460,10565
16111,4481
14836,10322
7744,7059
12603,12993
9753,1051
9983,10979
16445,14552
19506,7928
630,19981
14339,13627
10322,17758
19807,6947
8150,9422
17292,7000
10565,12752
7327,18252
21627,12471
8192,6037
9009,17557
10717,1383
10423,5059
737,9699
7448,53
9481,12122
9983,7179
10423,3132
8256,19928
18112,4895
7637,18112
12471,12538
9422,21680
17858,17657
13581,11142
16247,791
2467,20856
5195,18016
585,20234
21423,9380
8556,5529
10207,9380
17049,9422
10630,1496
15692,8688
17049,12471
21482,791
8433,17458
16958,16399
13581,14507
11142,1102
8893,10035
791,16596
11564,13232
18112,4325
15421,19864
16043,19274
6037,5472
8433,9815
3428,18306
16111,3806
21276,5988
12603,18204
4682,16815
11255,15034
900,10630
19807,14046
12020,9815
6947,18485
15537,8556
15875,3089
17458,12255
4530,1496
3089,1606
2343,114
1221,4166
11255,9158
14339,3546
6702,412
10717,5799
20234,7812
13458,21324
11082,18204
5416,12362
20479,20479
12752,3546
11255,12255
10146,17248
2964,2570
13943,2861
8488,7000
18306,15316
10931,15813
14278,17344
9753,11365
1154,13289
14046,5019
5019,10832
6403,16958
15692,8256
20584,12993
21566,10269
12122,14407
1383,7514
18016,585
20301,9699
14452,9422
3252,16492
2099,11365
8192,2168
14901,6273
18957,7704
11188,2625
13289,14601
14653,1383
6785,17608
13750,7059
11416,16754
16855,18696
1701,4895
8784,6742
17708,18853
8038,18252
10378,1821
7327,12362
2679,7280
585,10717
3546,2525
18537,18743
15254,20584
7448,7059
15132,8150
9481,585
19668,1277
10322,18056
13289,19391
9209,5019
16639,21234
1452,16445
13992,14836
8738,5195
4784,3590
7997,11365
1452,21627
14653,3252
20395,14836
6079,4234
5195,8312
15813,20395
9380,9064
18648,3899
3899,5799
17106,17813
15421,19391
3899,12299
2235,1539
9983,4166
630,9064
11904,4629
2679,17403
16492,4234
16492,2235
5059,4125
16536,3546
19864,17292
19053,19053
18485,11036
17248,6785
10470,2734
13088,9064
5416,9925
13838,9815
13627,4784
10269,2570
21276,19506
12020,8038
3899,11955
16165,12940
18204,2099
13192,14339
2343,15537
12940,5629
6580,12752
4588,10094
16596,7997
21423,16815
1658,15421
3752,2525
853,17899
2734,7812
3132,15999
18435,17292
8784,6645
21079,18696
16247,20945
4895,9380
12940,4325
5865,18435
17513,11955
2679,14224
5128,9064
19012,21627
11799,15201
19928,20694
17458,6037
18696,5128
9604,9009
9422,19053
14714,16165
737,20234
2679,12752
11564,11365
11365,12362
8375,10979
4370,6742
1496,3032
8488,4056
9324,18252
19765,4278
15933,2343
585,6139
6463,16958
4784,9118
15999,9271
11036,18957
11188,16907
13581,17146
10832,11365
16536,16639
8738,10423
3899,353
21627,12071
17557,13232
286,19807
14783,14836
10094,9064
13943,1942
19807,10630
2525,8038
20856,8150
9158,17951
19807,12411
11416,11188
1277,5576
2625,20187
17758,8623
21079,10423
11036,286
1221,18355
6742,737
16907,8738
14339,673
12752,4325
9541,15316
2861,1320
6895,11188
18355,12255
20355,7744
11365,9118
2099,18395
6273,4278
1658,2625
19460,7000
21014,21014
21680,2625
11463,19274
9158,480
16111,8831
480,3752
3089,21014
15537,1154
13992,18957
17557,0
17813,19274
16639,10094
9009,10094
10094,19460
19391,7280
16639,9869
6645,9209
19391,8192
6037,17813
14112,14783
7704,791
13458,14783
9380,114
18252,21180
19928,7928
18355,11616
15201,21136
12071,10781
5128,19715
12020,9118
18056,18155
17458,15201
13750,1769
18112,18056
12189,16815
12752,6079
5019,12645
3380,4016
11616,7928
2525,20133
3199,900
18590,20301
4234,9158
19274,16699
10832,19668
8623,791
19274,1769
7637,2285
11799,5019
10879,1005
14452,17813
13289,9324
5674,12645
2285,12645
15034,13992
8944,6403
20133,20804
8784,7280
8038,14507
21276,2861
1154,7744
18798,20029
10671,6338
3485,2168
4016,13838
6516,12752
14452,17899
15421,12873
4895,14601
8312,3485
791,2343
5865,17513
5629,13627
18395,5366
10518,791
9271,18112
10717,11255
19668,13514
8312,7869
9009,1320
21482,8433
7997,6139
12122,19122
16536,11955
353,20395
9422,19981
20439,13033
17248,6645
2099,5674
15813,5799
10146,16043
10269,179
9380,2050
2625,7637
16205,12255
2168,4957
9118,16492
11416,5416
19210,3089
16445,9158
8893,12645
21566,1942
8038,4429
18897,12752
19460,853
13992,959
9815,12020
5253,1539
4588,18056
480,18648
9869,6742
17951,3806
12809,7869
18853,2168
1005,8831
20029,15483
6139,10879
8099,5629
12362,18155
480,17198
3633,20234
16699,17049
13838,15999
3089,9815
15483,3032
15760,4325
3752,9925
10470,9815
20804,1882
21136,16907
1383,16754
14174,5472
1942,5529
11463,15627
5253,12362
5306,17106
10832,8488
8944,16445
18056,10470
20395,5576
7812,17292
13232,19053
4234,6403
2412,12538
8488,19165
6895,13192
20234,16536
19165,21627
19012,3199
7869,1496
673,18355
3089,20901
13838,8488
15586,8433
18537,21079
15421,21680
20301,13232
16639,10879
13838,17608
6742,16399
3806,18590
21180,2734
8099,16303
19210,17002
2861,21234
18204,17758
2795,11522
14046,4830
21276,7569
4629,7448
18590,17002
13192,11904
9925,6037
21566,8150
3806,2168
10717,9009
13458,17899
3967,0
1539,737
19460,15483
4784,791
10717,9983
12071,1821
12411,8688
3428,20187
13992,7569
12471,19765
7122,5366
19165,7122
9983,10207
13033,12189
17557,19765
8488,9869
8556,17248
8784,9380
5988,13627
18155,16205
13329,6139
11142,17198
13690,21627
12603,7059
585,10979
17899,19325
4056,21234
21566,2861
20530,12255
16492,1769
6338,6273
10518,8038
9481,19981
13750,13838
14112,3252
9324,17951
9324,791
13581,20479
19325,4784
3546,16399
6205,20234
7704,21234
4429,12471
10322,18112
14112,6463
630,17951
15760,9983
17458,12020
14112,2343
12993,21324
17049,19928
11904,11799
5576,19325
21482,21136
12471,3752
20742,4629
2734,2679
0,14046
1221,6205
21136,15201
7928,18743
17106,9118
630,19807
1320,11733
9118,1496
9481,14969
